step,seed,experiment_id,phase,residual_objective,base_loss,residual_loss,zero_init_loss,residual_parameter_delta,max_zero_init_logit_delta,max_hep_alpha0_logit_delta,hep_alpha,hep_loss,max_hep_logit_delta_from_ordinary,hep_support_change_fraction,hep_pinned_vs_repicked_logit_delta,device,error,status,run_dir,config_path
5,1,char_smoke_hep,residual_update,supervised_ce,4.01388359,3.97017455,4.01388359,6.32991292,0.00000000,0.00000000,,,,,,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
6,1,char_smoke_hep,residual_update,supervised_ce,4.01388359,3.96183443,4.01388359,7.56085675,0.00000000,0.00000000,,,,,,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
7,1,char_smoke_hep,residual_update,supervised_ce,4.01388359,3.95363259,4.01388359,8.78166015,0.00000000,0.00000000,,,,,,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
8,1,char_smoke_hep,residual_update,supervised_ce,4.01388359,3.94556999,4.01388359,9.99453376,0.00000000,0.00000000,,,,,,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
9,1,char_smoke_hep,residual_update,supervised_ce,4.01388359,3.93764544,4.01388359,11.20129622,0.00000000,0.00000000,,,,,,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
10,1,char_smoke_hep,residual_update,supervised_ce,4.01388359,3.92986178,4.01388359,12.40341429,0.00000000,0.00000000,,,,,,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
10,1,char_smoke_hep,hep_sweep,supervised_ce,4.01388359,3.92986178,4.01388359,12.40341429,0.00000000,0.00000000,0.00000000,3.92986178,0.00000000,0.00000000,0.00000000,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
10,1,char_smoke_hep,hep_sweep,supervised_ce,4.01388359,3.92986178,4.01388359,12.40341429,0.00000000,0.00000000,0.25000000,3.91077828,0.06316346,0.00000000,0.00000000,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
10,1,char_smoke_hep,hep_sweep,supervised_ce,4.01388359,3.92986178,4.01388359,12.40341429,0.00000000,0.00000000,0.50000000,3.89246535,0.12632635,0.00000000,0.00000000,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
10,1,char_smoke_hep,hep_sweep,supervised_ce,4.01388359,3.92986178,4.01388359,12.40341429,0.00000000,0.00000000,1.00000000,3.85813832,0.25265265,0.00000000,0.00000000,cpu,,ok,results/comparisons/phase0/runs/char_smoke_hep,configs/char_smoke_hep.yaml
